"trust_id","trust_code","trust_name","trust_type","region","reporting_date","general_beds_open","general_beds_occupied","general_bed_occupancy_pct","critical_care_beds_open","critical_care_beds_occupied","critical_care_occupancy_pct","ae_attendances","four_hour_breaches","four_hour_breach_pct","ambulance_arrivals","ambulance_handover_delays","ambulance_handover_delay_pct","patients_ready_for_discharge","admissions","discharges","net_admissions","establishment_fte","substantive_fte","absence_fte","workforce_absence_pct","agency_fte","bank_fte","unfilled_shifts","temperature_min_c","temperature_max_c","precipitation_mm","snowfall_mm","wind_speed_mph","weather_warning_level","weather_warning_type","minimum_temperature_band","assessment_timestamp","recommended_opel_level","approved_opel_level","previous_approved_opel_level","prediction_confidence","assessment_method","assessment_rationale","key_pressure_factors","approval_status","assessed_by_role","reviewed_by_role","reviewed_at","rule_version","operational_pressure_status","human_override_indicator","operational_source_system","operational_source_record_id","load_batch_id","data_quality_status"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-01",430,366,"85.12",28,20,"71.43",281,22,"7.83",94,11,"11.70",32,210,202,8,"940.00","846.00","35.90","3.82","18.80","14.10","5","-2.30","3.50","3.20","0.00","21.00",NULL,NULL,"Below 0°C","2026-01-01 10:00:00+00",1,1,NULL,"0.9100","rules_based","Synthetic operational conditions remained within routine arrangements.","Routine demand and manageable operational pressure","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-01 10:30:00+00","opel_rules_v1.0","Routine pressure",False,"synthetic_seed_v1","OPS-NRT002-20260101","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-02",430,371,"86.28",28,20,"71.43",292,23,"7.88",98,14,"14.29",33,215,206,9,"940.00","846.00","33.90","3.61","18.80","14.10","6","-3.10","4.50","3.20","0.00","24.00",NULL,NULL,"Below 0°C","2026-01-02 10:00:00+00",1,1,1,"0.9100","rules_based","Synthetic operational conditions remained within routine arrangements.","Routine demand and manageable operational pressure","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-02 10:30:00+00","opel_rules_v1.0","Routine pressure",False,"synthetic_seed_v1","OPS-NRT002-20260102","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-03",430,364,"84.65",28,20,"71.43",278,22,"7.91",102,10,"9.80",34,220,210,10,"940.00","846.00","36.90","3.93","18.80","14.10","7","-1.90","2.50","3.20","45.00","27.00",NULL,NULL,"Below 0°C","2026-01-03 10:00:00+00",1,1,1,"0.9100","rules_based","Synthetic operational conditions remained within routine arrangements.","Routine demand and manageable operational pressure","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-03 10:30:00+00","opel_rules_v1.0","Routine pressure",False,"synthetic_seed_v1","OPS-NRT002-20260103","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-04",430,369,"85.81",28,20,"71.43",289,23,"7.96",106,13,"12.26",35,207,199,8,"940.00","846.00","34.90","3.71","18.80","14.10","4","-2.70","3.50","14.00","45.00","36.00","yellow","ice","Below 0°C","2026-01-04 10:00:00+00",1,1,1,"0.9100","rules_based","Synthetic operational conditions remained within routine arrangements.","Routine demand and manageable operational pressure","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-04 10:30:00+00","opel_rules_v1.0","Routine pressure",False,"synthetic_seed_v1","OPS-NRT002-20260104","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-05",430,362,"84.19",28,20,"71.43",275,22,"8.00",92,9,"9.78",36,212,203,9,"940.00","846.00","32.90","3.50","18.80","14.10","5","-3.50","4.50","14.00","0.00","48.00","yellow","wind","Below 0°C","2026-01-05 10:00:00+00",1,1,1,"0.9100","rules_based","Synthetic operational conditions remained within routine arrangements.","Routine demand and manageable operational pressure","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-05 10:30:00+00","opel_rules_v1.0","Routine pressure",False,"synthetic_seed_v1","OPS-NRT002-20260105","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-06",430,367,"85.35",28,20,"71.43",286,23,"8.04",96,12,"12.50",31,217,207,10,"940.00","846.00","35.90","3.82","18.80","14.10","6","-2.30","2.50","3.20","0.00","24.00",NULL,NULL,"Below 0°C","2026-01-06 10:00:00+00",1,1,1,"0.9100","rules_based","Synthetic operational conditions remained within routine arrangements.","Routine demand and manageable operational pressure","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-06 10:30:00+00","opel_rules_v1.0","Routine pressure",False,"synthetic_seed_v1","OPS-NRT002-20260106","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-07",430,372,"86.51",28,20,"71.43",272,22,"8.09",100,8,"8.00",32,222,211,11,"940.00","846.00","33.90","3.61","18.80","14.10","7","-3.10","3.50","3.20","0.00","27.00",NULL,NULL,"Below 0°C","2026-01-07 10:00:00+00",1,1,1,"0.9100","rules_based","Synthetic operational conditions remained within routine arrangements.","Routine demand and manageable operational pressure","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-07 10:30:00+00","opel_rules_v1.0","Routine pressure",False,"synthetic_seed_v1","OPS-NRT002-20260107","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-08",430,387,"90.00",28,20,"71.43",318,41,"12.89",104,20,"19.23",33,209,200,9,"940.00","846.00","51.00","5.43","28.20","14.10","9","1.60","7.50","7.50","0.00","18.00",NULL,NULL,"0°C to below 3°C","2026-01-08 10:00:00+00",2,2,1,"0.8700","rules_based","Synthetic moderate pressure required active monitoring.","Moderate demand; selected capacity and workforce pressure","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-08 10:30:00+00","opel_rules_v1.0","Moderate pressure",False,"synthetic_seed_v1","OPS-NRT002-20260108","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-09",430,392,"91.16",28,20,"71.43",329,43,"13.07",90,23,"25.56",34,214,204,10,"940.00","846.00","49.00","5.21","28.20","14.10","10","0.80","5.50","3.20","0.00","21.00",NULL,NULL,"0°C to below 3°C","2026-01-09 10:00:00+00",2,2,2,"0.8700","rules_based","Synthetic moderate pressure required active monitoring.","Moderate demand; selected capacity and workforce pressure","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-09 10:30:00+00","opel_rules_v1.0","Moderate pressure",False,"synthetic_seed_v1","OPS-NRT002-20260109","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-10",430,385,"89.53",28,20,"71.43",315,41,"13.02",94,19,"20.21",35,219,208,11,"940.00","846.00","47.00","5.00","28.20","14.10","11","0.00","6.50","3.20","0.00","24.00",NULL,NULL,"0°C to below 3°C","2026-01-10 10:00:00+00",2,2,2,"0.8700","rules_based","Synthetic moderate pressure required active monitoring.","Moderate demand; selected capacity and workforce pressure","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-10 10:30:00+00","opel_rules_v1.0","Moderate pressure",False,"synthetic_seed_v1","OPS-NRT002-20260110","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-11",430,390,"90.70",28,24,"85.71",326,42,"12.88",98,22,"22.45",36,206,212,-6,"940.00","846.00","50.00","5.32","28.20","14.10","12","1.20","7.50","14.00","0.00","36.00","yellow","ice","0°C to below 3°C","2026-01-11 10:00:00+00",2,2,2,"0.8700","rules_based","Synthetic moderate pressure required active monitoring.","Moderate demand; selected capacity and workforce pressure","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-11 10:30:00+00","opel_rules_v1.0","Moderate pressure",False,"synthetic_seed_v1","OPS-NRT002-20260111","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-12",430,383,"89.07",28,24,"85.71",312,41,"13.14",102,18,"17.65",31,211,201,10,"940.00","846.00","48.00","5.11","28.20","14.10","9","0.40","5.50","14.00","45.00","48.00","amber","snow and ice","0°C to below 3°C","2026-01-12 10:00:00+00",2,2,2,"0.8700","rules_based","Synthetic moderate pressure required active monitoring.","Moderate demand; selected capacity and workforce pressure","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-12 10:30:00+00","opel_rules_v1.0","Moderate pressure",False,"synthetic_seed_v1","OPS-NRT002-20260112","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-13",430,388,"90.23",28,24,"85.71",323,42,"13.00",106,21,"19.81",32,216,205,11,"940.00","846.00","51.00","5.43","28.20","14.10","10","1.60","6.50","3.20","45.00","21.00",NULL,NULL,"0°C to below 3°C","2026-01-13 10:00:00+00",2,3,2,"0.8700","rules_based","Human reviewer adjusted the synthetic rules-based recommendation.","Moderate demand; selected capacity and workforce pressure","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-13 10:30:00+00","opel_rules_v1.0","Significant pressure",True,"synthetic_seed_v1","OPS-NRT002-20260113","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-14",430,393,"91.40",28,24,"85.71",309,40,"12.94",92,17,"18.48",33,221,209,12,"940.00","846.00","49.00","5.21","28.20","14.10","11","0.80","7.50","3.20","0.00","24.00",NULL,NULL,"0°C to below 3°C","2026-01-14 10:00:00+00",2,2,3,"0.8700","rules_based","Synthetic moderate pressure required active monitoring.","Moderate demand; selected capacity and workforce pressure","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-14 10:30:00+00","opel_rules_v1.0","Moderate pressure",False,"synthetic_seed_v1","OPS-NRT002-20260114","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-15",430,403,"93.72",28,24,"85.71",340,75,"22.06",96,32,"33.33",46,208,201,7,"940.00","846.00","65.80","7.00","47.00","23.50","19","-2.00","3.50","3.20","0.00","27.00",NULL,NULL,"Below 0°C","2026-01-15 10:00:00+00",3,3,2,"0.8300","rules_based","Synthetic significant pressure required enhanced operational coordination.","Rising occupancy; discharge pressure; workforce absence","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-15 10:30:00+00","opel_rules_v1.0","Significant pressure",False,"synthetic_seed_v1","OPS-NRT002-20260115","11111111-1111-4111-8111-111111111111","valid"
"14","NRT002","North Riverside NHS Trust","Acute Trust","North","2026-01-16",430,408,"94.88",28,24,"85.71",326,72,"22.09",100,35,"35.00",47,213,203,10,"940.00","846.00","68.80","7.32","47.00","23.50","16","-0.80","4.50","7.50","0.00","18.00",NULL,NULL,"Below 0°C","2026-01-16 10:00:00+00",3,3,3,"0.8300","rules_based","Synthetic significant pressure required enhanced operational coordination.","Rising occupancy; discharge pressure; workforce absence","approved","Operational Intelligence Analyst","Duty Operations Manager","2026-01-16 10:30:00+00","opel_rules_v1.0","Significant pressure",False,"synthetic_seed_v1","OPS-NRT002-20260116","11111111-1111-4111-8111-111111111111","valid"
