"trust_code","trust_name","reporting_date","general_bed_occupancy_pct","critical_care_occupancy_pct","ae_attendances","four_hour_breach_pct","ambulance_handover_delay_pct","patients_ready_for_discharge","net_admissions","workforce_absence_pct","agency_fte","bank_fte","unfilled_shifts","temperature_min_c","temperature_max_c","weather_warning_level","approved_opel_level","operational_pressure_status","human_override_indicator"
"NRT002","North Riverside NHS Trust","2026-01-01","85.12","71.43",281,"7.83","11.70",32,8,"3.82","18.80","14.10","5","-2.30","3.50",NULL,1,"Routine pressure",False
"NRT002","North Riverside NHS Trust","2026-01-02","86.28","71.43",292,"7.88","14.29",33,9,"3.61","18.80","14.10","6","-3.10","4.50",NULL,1,"Routine pressure",False
"NRT002","North Riverside NHS Trust","2026-01-03","84.65","71.43",278,"7.91","9.80",34,10,"3.93","18.80","14.10","7","-1.90","2.50",NULL,1,"Routine pressure",False
"NRT002","North Riverside NHS Trust","2026-01-04","85.81","71.43",289,"7.96","12.26",35,8,"3.71","18.80","14.10","4","-2.70","3.50","yellow",1,"Routine pressure",False
"NRT002","North Riverside NHS Trust","2026-01-05","84.19","71.43",275,"8.00","9.78",36,9,"3.50","18.80","14.10","5","-3.50","4.50","yellow",1,"Routine pressure",False
"NRT002","North Riverside NHS Trust","2026-01-06","85.35","71.43",286,"8.04","12.50",31,10,"3.82","18.80","14.10","6","-2.30","2.50",NULL,1,"Routine pressure",False
"NRT002","North Riverside NHS Trust","2026-01-07","86.51","71.43",272,"8.09","8.00",32,11,"3.61","18.80","14.10","7","-3.10","3.50",NULL,1,"Routine pressure",False
"NRT002","North Riverside NHS Trust","2026-01-08","90.00","71.43",318,"12.89","19.23",33,9,"5.43","28.20","14.10","9","1.60","7.50",NULL,2,"Moderate pressure",False
"NRT002","North Riverside NHS Trust","2026-01-09","91.16","71.43",329,"13.07","25.56",34,10,"5.21","28.20","14.10","10","0.80","5.50",NULL,2,"Moderate pressure",False
"NRT002","North Riverside NHS Trust","2026-01-10","89.53","71.43",315,"13.02","20.21",35,11,"5.00","28.20","14.10","11","0.00","6.50",NULL,2,"Moderate pressure",False
"NRT002","North Riverside NHS Trust","2026-01-11","90.70","85.71",326,"12.88","22.45",36,-6,"5.32","28.20","14.10","12","1.20","7.50","yellow",2,"Moderate pressure",False
"NRT002","North Riverside NHS Trust","2026-01-12","89.07","85.71",312,"13.14","17.65",31,10,"5.11","28.20","14.10","9","0.40","5.50","amber",2,"Moderate pressure",False
"NRT002","North Riverside NHS Trust","2026-01-13","90.23","85.71",323,"13.00","19.81",32,11,"5.43","28.20","14.10","10","1.60","6.50",NULL,3,"Significant pressure",True
"NRT002","North Riverside NHS Trust","2026-01-14","91.40","85.71",309,"12.94","18.48",33,12,"5.21","28.20","14.10","11","0.80","7.50",NULL,2,"Moderate pressure",False
"NRT002","North Riverside NHS Trust","2026-01-15","93.72","85.71",340,"22.06","33.33",46,7,"7.00","47.00","23.50","19","-2.00","3.50",NULL,3,"Significant pressure",False
"NRT002","North Riverside NHS Trust","2026-01-16","94.88","85.71",326,"22.09","35.00",47,10,"7.32","47.00","23.50","16","-0.80","4.50",NULL,3,"Significant pressure",False
"NRT002","North Riverside NHS Trust","2026-01-17","93.26","85.71",337,"21.96","29.81",48,13,"7.11","47.00","23.50","17","-1.60","5.50",NULL,3,"Significant pressure",False
"NRT002","North Riverside NHS Trust","2026-01-18","94.42","85.71",348,"22.13","37.78",43,7,"7.43","47.00","23.50","18","-0.40","3.50","yellow",3,"Significant pressure",False
"NRT002","North Riverside NHS Trust","2026-01-19","95.58","85.71",334,"21.86","31.91",44,10,"7.21","47.00","23.50","19","-1.20","4.50","amber",3,"Significant pressure",False
"NRT002","North Riverside NHS Trust","2026-01-20","93.95","85.71",345,"22.03","33.67",45,13,"7.00","47.00","23.50","16","-2.00","5.50",NULL,3,"Significant pressure",False
"NRT002","North Riverside NHS Trust","2026-01-21","95.12","92.86",331,"22.05","28.43",46,16,"7.32","47.00","23.50","17","-0.80","3.50",NULL,3,"Significant pressure",False
"NRT002","North Riverside NHS Trust","2026-01-22","93.49","92.86",342,"21.93","30.19",47,1,"7.11","47.00","23.50","18","-1.60","4.50",NULL,3,"Significant pressure",False
"NRT002","North Riverside NHS Trust","2026-01-23","97.67","92.86",348,"31.03","54.35",48,13,"8.93","65.80","23.50","26","3.10","9.50",NULL,3,"Significant pressure",False
"NRT002","North Riverside NHS Trust","2026-01-24","96.05","92.86",359,"30.92","47.92",43,16,"8.71","65.80","23.50","23","2.30","7.50",NULL,3,"Significant pressure",False
"NRT002","North Riverside NHS Trust","2026-01-25","97.21","92.86",345,"31.01","49.00",44,19,"8.50","65.80","23.50","24","1.50","8.50","yellow",3,"Significant pressure",False
"NRT002","North Riverside NHS Trust","2026-01-26","98.37","92.86",356,"30.90","43.27",45,4,"8.82","65.80","23.50","25","2.70","9.50","yellow",3,"Significant pressure",False
"NRT002","North Riverside NHS Trust","2026-01-27","96.74","92.86",367,"31.06","53.33",46,16,"8.61","65.80","23.50","26","1.90","7.50",NULL,3,"Significant pressure",False
"NRT002","North Riverside NHS Trust","2026-01-28","97.91","92.86",353,"30.88","46.81",47,19,"8.93","65.80","23.50","23","3.10","8.50",NULL,3,"Significant pressure",False
"NRT002","North Riverside NHS Trust","2026-01-29","96.28","92.86",364,"31.04","47.96",48,4,"8.71","65.80","23.50","24","2.30","9.50",NULL,3,"Significant pressure",False
"NRT002","North Riverside NHS Trust","2026-01-30","97.44","92.86",350,"31.14","49.02",43,7,"8.50","65.80","23.50","25","1.50","7.50",NULL,3,"Significant pressure",False
"SCT003","South County Community Trust","2026-01-01","85.45","75.00",106,"7.55","28.21",19,4,"4.20","8.60","6.45","3","1.20","7.00",NULL,1,"Routine pressure",False
